Image Filename,Gray Area (pixels),White Area (pixels),Infiltration (%),Sensitivity (Gray Iter),White Threshold
AA1-726x01.tif,52665,4840,9.19,5,175
AA1-726x02.tif,103896,8461,8.14,5,175
AA1-726x03.tif,66905,7183,10.74,5,175
AA5-726x01.tif,17051,2257,13.24,5,175
AA5-726x02.tif,14592,1988,13.62,5,175
AA5-726x03.tif,59712,5503,9.22,5,175
AA5-726x04.tif,78813,8042,10.20,5,175
CA1_726x01.tif,24892,434,1.74,5,175
CA1_726x03.tif,8058,825,10.24,5,175
CA1_726x04.tif,16602,1680,10.12,5,175
CA5_726x01.tif,57660,1572,2.73,5,175
CA5_726x03.tif,37793,2082,5.51,5,175
CA5_bis_726x02.tif,132428,8742,6.60,5,175

TOTAL,671067,53609,7.99,,
